kabupaten_kota,Garis_Kemiskinan,Indeks_Pembangunan_Manusia,Persen_Penduduk_Miskin,Tingkat Pengangguran Terbuka,Upah Minimum,Jumlah Penduduk (Ribu),Laju Pertumbuhan Penduduk per Tahun,Persentase Penduduk,Kepadatan Penduduk per km persegi (Km2),Rasio Jenis Kelamin Penduduk,tahun,kuartal,PDRB,Proksi Inflasi,Laju_Inflasi,Gini_Ratio,investasi_per_kapita,Jumlah Perusahaan Kecil
KEDIRI,353033,74.2,10.65,6.83,2043422.93,1660.8,0.83,4.03,1143.5,101.95,2022,4.0,7821.61,Kota Kediri,5.76,0.329,1178.6959139759597,82
KEDIRI,385874,74.68,10.72,5.79,2340668.0,1677.2,0.92,4.04,1101.0,101.9,2023,1.0,7614.68,Kota Kediri,5.36,0.306,7708.695714175589,197
KEDIRI,385874,74.68,10.72,5.79,2340668.0,1677.2,0.92,4.04,1101.0,101.9,2023,2.0,7978.4,Kota Kediri,3.92,0.306,136.6006387507902,120
KEDIRI,385874,74.68,10.72,5.79,2340668.0,1677.2,0.92,4.04,1101.0,101.9,2023,3.0,8528.33,Kota Kediri,2.55,0.306,1732.5402506939656,70
KEDIRI,385874,74.68,10.72,5.79,2340668.0,1677.2,0.92,4.04,1101.0,101.9,2023,4.0,8074.09,Kota Kediri,2.64,0.306,798.9542901703604,72
KEDIRI,403621,75.18,9.95,5.1,2492811.0,1689.9,0.88,4.04,1109.0,101.9,2024,1.0,7959.47,Kota Kediri,2.88,0.3,247.5850340132686,117
KEDIRI,403621,75.18,9.95,5.1,2492811.0,1689.9,0.88,4.04,1109.0,101.9,2024,2.0,8383.72,Kota Kediri,1.72,0.3,1647.895381772384,117
KEDIRI,403621,75.18,9.95,5.1,2492811.0,1689.9,0.88,4.04,1109.0,101.9,2024,3.0,8918.42,Kota Kediri,0.88,0.3,466.5799610891916,129
KEDIRI,403621,75.18,9.95,5.1,2492811.0,1689.9,0.88,4.04,1109.0,101.9,2024,4.0,8526.02,Kota Kediri,"1,19",0.3,1046.4273458416988,301
LAMONGAN,446601,74.83,12.53,6.05,2488724.77,1362.75,0.93,3.31,771.0,100.1,2022,1.0,7461.61,Kota Surabaya,3.16,0.273,4248.502409638554,156
LAMONGAN,446601,74.83,12.53,6.05,2488724.77,1362.75,0.93,3.31,771.0,100.1,2022,2.0,7530.26,Kota Surabaya,4.89,0.273,689.4869565210578,164
LAMONGAN,446601,74.83,12.53,6.05,2488724.77,1362.75,0.93,3.31,771.0,100.1,2022,3.0,7572.81,Kota Surabaya,6.91,0.273,1371.2571428541746,174
LAMONGAN,446601,74.83,12.53,6.05,2488724.77,1362.75,0.93,3.31,771.0,100.1,2022,4.0,6882.77,Kota Surabaya,6.59,0.273,530.803206995537,186
LAMONGAN,481969,75.29,12.42,5.46,2828323.0,1369.5,0.68,3.3,781.0,100.1,2023,1.0,7759.23,Kota Surabaya,6.3,0.295,334.66249999947047,197
LAMONGAN,481969,75.29,12.42,5.46,2828323.0,1369.5,0.68,3.3,781.0,100.1,2023,2.0,7912.67,Kota Surabaya,4.91,0.295,67.24706873313097,229
LAMONGAN,481969,75.29,12.42,5.46,2828323.0,1369.5,0.68,3.3,781.0,100.1,2023,3.0,7818.37,Kota Surabaya,3.14,0.295,415.4834726089708,142
LAMONGAN,481969,75.29,12.42,5.46,2828323.0,1369.5,0.68,3.3,781.0,100.1,2023,4.0,7218.91,Kota Surabaya,3.03,0.295,616.617438690418,143
LAMONGAN,524636,75.9,12.16,4.34,3012164.0,1378.2,0.67,3.3,786.0,100.0,2024,1.0,7914.39,Kota Surabaya,2.99,0.281,140.6826107010421,144
LAMONGAN,524636,75.9,12.16,4.34,3012164.0,1378.2,0.67,3.3,786.0,100.0,2024,2.0,8514.54,Kota Surabaya,2.35,0.281,110.11374947277308,144
LAMONGAN,524636,75.9,12.16,4.34,3012164.0,1378.2,0.67,3.3,786.0,100.0,2024,3.0,8193.0,Kota Surabaya,1.65,0.281,175.79248585569732,148
LAMONGAN,524636,75.9,12.16,4.34,3012164.0,1378.2,0.67,3.3,786.0,100.0,2024,4.0,7564.02,Kota Surabaya,"1,38",0.281,636.5062913904943,297
LUMAJANG,352776,68.48,9.06,4.97,2000607.2,1133.1,0.79,2.75,631.5,97.8,2022,1.0,5589.13,Kabupaten Jember,2.87,0.349,20.63870967741936,29
LUMAJANG,352776,68.48,9.06,4.97,2000607.2,1133.1,0.79,2.75,631.5,97.8,2022,2.0,6075.55,Kabupaten Jember,5.53,0.349,82.1626421223161,33
LUMAJANG,352776,68.48,9.06,4.97,2000607.2,1133.1,0.79,2.75,631.5,97.8,2022,3.0,6114.61,Kabupaten Jember,7.3,0.349,67.38932490853551,35
LUMAJANG,352776,68.48,9.06,4.97,2000607.2,1133.1,0.79,2.75,631.5,97.8,2022,4.0,5847.29,Kabupaten Jember,7.39,0.349,77.86630340015739,38
LUMAJANG,386995,69.37,8.93,3.67,2281469.0,1139.1,0.64,2.74,634.0,97.8,2023,1.0,5884.74,Kabupaten Jember,6.48,0.391,48.547502216960005,40
LUMAJANG,386995,69.37,8.93,3.67,2281469.0,1139.1,0.64,2.74,634.0,97.8,2023,2.0,6420.41,Kabupaten Jember,4.31,0.391,313.48257016201853,53
LUMAJANG,386995,69.37,8.93,3.67,2281469.0,1139.1,0.64,2.74,634.0,97.8,2023,3.0,6392.38,Kabupaten Jember,3.05,0.391,133.79444973037306,27
LUMAJANG,386995,69.37,8.93,3.67,2281469.0,1139.1,0.64,2.74,634.0,97.8,2023,4.0,6110.82,Kabupaten Jember,2.29,0.391,252.45952848698187,28
LUMAJANG,405136,70.31,8.65,3.28,2429764.0,1145.9,0.63,2.74,638.0,97.8,2024,1.0,6094.54,Kabupaten Jember,2.53,0.363,772.642120679102,30
LUMAJANG,405136,70.31,8.65,3.28,2429764.0,1145.9,0.63,2.74,638.0,97.8,2024,2.0,6671.31,Kabupaten Jember,1.99,0.363,102.21213735932372,30
LUMAJANG,405136,70.31,8.65,3.28,2429764.0,1145.9,0.63,2.74,638.0,97.8,2024,3.0,6717.55,Kabupaten Jember,1.56,0.363,79.76674008801787,33
LUMAJANG,405136,70.31,8.65,3.28,2429764.0,1145.9,0.63,2.74,638.0,97.8,2024,4.0,6446.52,Kabupaten Jember,"1,74",0.363,339.32718893957093,84
MADIUN,405127,73.51,10.79,5.84,1958410.31,752.3,0.77,1.83,700.5,98.1,2022,1.0,3323.97,Kota Madiun,2.38,0.354,624.4035714285715,110
MADIUN,405127,73.51,10.79,5.84,1958410.31,752.3,0.77,1.83,700.5,98.1,2022,2.0,3352.15,Kota Madiun,4.76,0.354,2418.1153845223803,37
MADIUN,405127,73.51,10.79,5.84,1958410.31,752.3,0.77,1.83,700.5,98.1,2022,3.0,3871.27,Kota Madiun,6.14,0.354,200.5730407521415,38
